English,Hindi,Hinglish,Id,Score
"On the other hand, art flourished under Buddhist patronage.
","दूसरी ओर बोद्धों के संरक्षण में कला समृद्धशाली बनी।
",[start] [UNK] or [UNK] [UNK] men kala ka development huaa [end],0,0
"Standard Chartered has brought in 140 million.
","स्टैंडर्ड चार्टर्ड 140 मिलियन लाया है।
",[start] [UNK] [UNK] ne [UNK] total lae hain [end],1,0
"During the war years, the railways were under great strain, not only because of the growing needs of transportation of troops and war materials internally, but also because of the responsibility thrown on them to meet the demands of staff and material for the railways in the African theatre of war.
","युद्ध के वर्षों के दौरान, रेलवे पर अत्यधिक दबाव था. यह न केवल सेना और युद्ध सामग्री को देश में ही लाने ले जाने के कारण था वरन् अफ्रीकी युद्ध में रेलवे के लिए स्टाफ और सामग्री की बढ़ती हुई मांग को पूरा करने के उन पर सौंपे गये दायित्व के कारण था.
",[start] yuddh ke varshon ke dauran n keval internal roop se [UNK] aur yuddh samagri ke [UNK] ki bati needs ke karan balki relve ke [UNK] aur [UNK] ki [UNK] ko poora karne ke lie un par [UNK] gee par ke karan bhi relve bahut [UNK] men tha [end],2,0
"They said, ‘O Moses! Will you throw first, or shall we? ’
","वे बोले, ""ऐ मूसा! या तो तुम फेंको या फिर हम पहले फेंकते हैं।""
",[start] unhonne kaha ae moosa [end],3,0.1361
"No maintenance charges required to be paid.
","कोई अनुरक्षण शुल्क देने की जरुरत नहीं है।
",[start] [UNK] [UNK] ka bhugtan karne ki aavashyakta nahin hai [end],4,0
"Cannot attach CMS Enveloped data
","CMS लिफाफाकृत आंकड़ा संलग्न नहीं कर सकता है
",[start] [UNK] [UNK] data snlagn nahin kar sakta [end],5,0.4485
"A culture of prevention rather than a culture of reaction is required in the mining industry as a value-driven commitment towards zero tolerance to such incidents.
","ऐसी दुर्घटनाओं को बिलकुल सहन न करने की मूल्य प्रेरित प्रतिबद्धता के रूप में,खनन उद्योग में प्रतिक्रिया की संस्कृति के बजाय बचाव की संस्कृति की आवश्यकता है।
",[start] [UNK] udyog men aesi [UNK] ke prti [UNK] [UNK] ki disha men value [UNK] [UNK] ke roop men [UNK] ki snskriti ke bajay [UNK] ki snskriti ki aavashyakta hai [end],6,0
"It tells you what vitamin K deficiency bleeding is, discusses the benefits of vitamin K supplements and possible disadvantages of its use, and gives the best current advice.
","यह पत्रक बताता है कि विटामिन के (ख्) डिफ़िशेसी ब्लीडिंग (विटामिन के (ख्) की कभी कमी की वजह से खून बहने लगना) क्या है। भाष्; यह विटामिन के (ख्) सप्लिमेंट्स के लाभ और संभावित प्रतिकूल परिस्थितियों के बारे में भी जानकारी देता है। भाष्;
",[start] yah aapko batata hai ki vitamin ke ki kami se [UNK] kya hota hai vitamin ke ki [UNK] ke [UNK] aur iske use ke possible [UNK] par charcha karta hai aur best present men deta hai [end],7,0.1462
"In truth, when its desires are fulfilled, it returns to its own place and enjoys the happiness that is the Self.
","वस्तुतः जब उसकी इच्छाएँ पूरी हो जाती है तो वह अपने स्थान पर वापस आ जाता है, और आनंद का, आत्मा का उपयोग करता है।
",[start] vastav men jab uski [UNK] full ho jati hain to vah apne sthan par laut aata hai aur us [UNK] ko [UNK] hai jo svyn hai [end],8,0
"Corporal punishment should be banished from schools and students should be encouraged to take positive initiatives.
","स्कूलों में बच्चों को शारीरिक दण्ड देने पर रोक होनी चाहिए और विद्यार्थियों को रचनात्मक पहल करने के लिए प्रोत्साहित किया जाना चाहिए।
",[start] sharirik [UNK] ko [UNK] se hata diya jana chahie aur [UNK] ko [UNK] initiatives karne ke lie protsahit kiya jana chahie [end],9,0.2472
